theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
immunisation,childhood-vaccines,4-in-1,Nation,Wales,4-in-1_coverage_coverageByYear,all,all,5y,2025,2025-03-31,89.3000,False
immunisation,childhood-vaccines,6-in-1,Nation,Wales,6-in-1_coverage_coverageByYear,all,all,5y,2025,2025-03-31,95.4000,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Wales,Hib-MenC_coverage_coverageByYear,all,all,5y,2025,2025-03-31,93.4000,False
immunisation,childhood-vaccines,MMR1,Nation,Wales,MMR1_coverage_coverageByYear,all,all,5y,2025,2025-03-31,95.2000,False
immunisation,childhood-vaccines,MMR2,Nation,Wales,MMR2_coverage_coverageByYear,all,all,5y,2025,2025-03-31,89.5000,False
immunisation,childhood-vaccines,4-in-1,Nation,Wales,4-in-1_coverage_coverageByYear,all,all,5y,2024,2024-03-31,89.1200,False
immunisation,childhood-vaccines,6-in-1,Nation,Wales,6-in-1_coverage_coverageByYear,all,all,5y,2024,2024-03-31,95.2300,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Wales,Hib-MenC_coverage_coverageByYear,all,all,5y,2024,2024-03-31,93.2400,False
immunisation,childhood-vaccines,MMR1,Nation,Wales,MMR1_coverage_coverageByYear,all,all,5y,2024,2024-03-31,94.9300,False
immunisation,childhood-vaccines,MMR2,Nation,Wales,MMR2_coverage_coverageByYear,all,all,5y,2024,2024-03-31,88.9500,False
immunisation,childhood-vaccines,4-in-1,Nation,Wales,4-in-1_coverage_coverageByYear,all,all,5y,2023,2023-03-31,90.0200,False
immunisation,childhood-vaccines,6-in-1,Nation,Wales,6-in-1_coverage_coverageByYear,all,all,5y,2023,2023-03-31,95.3800,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Wales,Hib-MenC_coverage_coverageByYear,all,all,5y,2023,2023-03-31,93.7700,False
immunisation,childhood-vaccines,MMR1,Nation,Wales,MMR1_coverage_coverageByYear,all,all,5y,2023,2023-03-31,95.2200,False
immunisation,childhood-vaccines,MMR2,Nation,Wales,MMR2_coverage_coverageByYear,all,all,5y,2023,2023-03-31,89.5400,False
immunisation,childhood-vaccines,4-in-1,Nation,Wales,4-in-1_coverage_coverageByYear,all,all,5y,2022,2022-03-31,91.2000,False
immunisation,childhood-vaccines,6-in-1,Nation,Wales,6-in-1_coverage_coverageByYear,all,all,5y,2022,2022-03-31,96.4400,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Wales,Hib-MenC_coverage_coverageByYear,all,all,5y,2022,2022-03-31,94.7300,False
immunisation,childhood-vaccines,MMR1,Nation,Wales,MMR1_coverage_coverageByYear,all,all,5y,2022,2022-03-31,95.8700,False
immunisation,childhood-vaccines,MMR2,Nation,Wales,MMR2_coverage_coverageByYear,all,all,5y,2022,2022-03-31,90.6300,False
immunisation,childhood-vaccines,4-in-1,Nation,Wales,4-in-1_coverage_coverageByYear,all,all,5y,2021,2021-03-31,92.9100,False
immunisation,childhood-vaccines,6-in-1,Nation,Wales,6-in-1_coverage_coverageByYear,all,all,5y,2021,2021-03-31,96.9700,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Wales,Hib-MenC_coverage_coverageByYear,all,all,5y,2021,2021-03-31,95.2000,False
immunisation,childhood-vaccines,MMR1,Nation,Wales,MMR1_coverage_coverageByYear,all,all,5y,2021,2021-03-31,96.6200,False
immunisation,childhood-vaccines,MMR2,Nation,Wales,MMR2_coverage_coverageByYear,all,all,5y,2021,2021-03-31,92.2100,False
immunisation,childhood-vaccines,4-in-1,Nation,Wales,4-in-1_coverage_coverageByYear,all,all,5y,2020,2020-03-31,92.5600,False
immunisation,childhood-vaccines,6-in-1,Nation,Wales,6-in-1_coverage_coverageByYear,all,all,5y,2020,2020-03-31,97.0600,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Wales,Hib-MenC_coverage_coverageByYear,all,all,5y,2020,2020-03-31,94.8800,False
immunisation,childhood-vaccines,MMR1,Nation,Wales,MMR1_coverage_coverageByYear,all,all,5y,2020,2020-03-31,96.6500,False
immunisation,childhood-vaccines,MMR2,Nation,Wales,MMR2_coverage_coverageByYear,all,all,5y,2020,2020-03-31,92.1200,False
immunisation,childhood-vaccines,4-in-1,Nation,Wales,4-in-1_coverage_coverageByYear,all,all,5y,2019,2019-03-31,92.5600,False
immunisation,childhood-vaccines,6-in-1,Nation,Wales,6-in-1_coverage_coverageByYear,all,all,5y,2019,2019-03-31,97.2600,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Wales,Hib-MenC_coverage_coverageByYear,all,all,5y,2019,2019-03-31,94.9800,False
immunisation,childhood-vaccines,MMR1,Nation,Wales,MMR1_coverage_coverageByYear,all,all,5y,2019,2019-03-31,96.7600,False
immunisation,childhood-vaccines,MMR2,Nation,Wales,MMR2_coverage_coverageByYear,all,all,5y,2019,2019-03-31,92.1700,False
immunisation,childhood-vaccines,4-in-1,Nation,Wales,4-in-1_coverage_coverageByYear,all,all,5y,2018,2018-03-31,92.3200,False
immunisation,childhood-vaccines,6-in-1,Nation,Wales,6-in-1_coverage_coverageByYear,all,all,5y,2018,2018-03-31,93.4700,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Wales,Hib-MenC_coverage_coverageByYear,all,all,5y,2018,2018-03-31,92.3500,False
immunisation,childhood-vaccines,MMR1,Nation,Wales,MMR1_coverage_coverageByYear,all,all,5y,2018,2018-03-31,96.5100,False
immunisation,childhood-vaccines,MMR2,Nation,Wales,MMR2_coverage_coverageByYear,all,all,5y,2018,2018-03-31,89.4600,False
immunisation,childhood-vaccines,4-in-1,Nation,Wales,4-in-1_coverage_coverageByYear,all,all,5y,2017,2017-03-31,92.5400,False
immunisation,childhood-vaccines,6-in-1,Nation,Wales,6-in-1_coverage_coverageByYear,all,all,5y,2017,2017-03-31,94.8300,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Wales,Hib-MenC_coverage_coverageByYear,all,all,5y,2017,2017-03-31,92.9200,False
immunisation,childhood-vaccines,MMR1,Nation,Wales,MMR1_coverage_coverageByYear,all,all,5y,2017,2017-03-31,96.7200,False
immunisation,childhood-vaccines,MMR2,Nation,Wales,MMR2_coverage_coverageByYear,all,all,5y,2017,2017-03-31,90.2800,False
immunisation,childhood-vaccines,4-in-1,Nation,Wales,4-in-1_coverage_coverageByYear,all,all,5y,2016,2016-03-31,92.1300,False
immunisation,childhood-vaccines,6-in-1,Nation,Wales,6-in-1_coverage_coverageByYear,all,all,5y,2016,2016-03-31,96.2900,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Wales,Hib-MenC_coverage_coverageByYear,all,all,5y,2016,2016-03-31,93.8300,False
immunisation,childhood-vaccines,MMR1,Nation,Wales,MMR1_coverage_coverageByYear,all,all,5y,2016,2016-03-31,96.8200,False
immunisation,childhood-vaccines,MMR2,Nation,Wales,MMR2_coverage_coverageByYear,all,all,5y,2016,2016-03-31,91.5900,False
immunisation,childhood-vaccines,4-in-1,Nation,Wales,4-in-1_coverage_coverageByYear,all,all,5y,2015,2015-03-31,93.3800,False
immunisation,childhood-vaccines,6-in-1,Nation,Wales,6-in-1_coverage_coverageByYear,all,all,5y,2015,2015-03-31,97.2600,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Wales,Hib-MenC_coverage_coverageByYear,all,all,5y,2015,2015-03-31,94.1000,False
immunisation,childhood-vaccines,MMR1,Nation,Wales,MMR1_coverage_coverageByYear,all,all,5y,2015,2015-03-31,97.0300,False
immunisation,childhood-vaccines,MMR2,Nation,Wales,MMR2_coverage_coverageByYear,all,all,5y,2015,2015-03-31,93.1100,False
immunisation,childhood-vaccines,4-in-1,Nation,Wales,4-in-1_coverage_coverageByYear,all,all,5y,2014,2014-03-31,93.2300,False
immunisation,childhood-vaccines,6-in-1,Nation,Wales,6-in-1_coverage_coverageByYear,all,all,5y,2014,2014-03-31,97.1900,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Wales,Hib-MenC_coverage_coverageByYear,all,all,5y,2014,2014-03-31,93.8400,False
immunisation,childhood-vaccines,MMR1,Nation,Wales,MMR1_coverage_coverageByYear,all,all,5y,2014,2014-03-31,96.8900,False
immunisation,childhood-vaccines,MMR2,Nation,Wales,MMR2_coverage_coverageByYear,all,all,5y,2014,2014-03-31,92.5600,False
