time_period,time_identifier,geographic_level,country_code,country_name,provider_type,number
2025,Calendar year,National,E92000001,England,Nursery class childcare settings,335300
2025,Calendar year,National,E92000001,England,Maintained nursery schools,37400
2025,Calendar year,National,E92000001,England,All school-based providers,372700
2025,Calendar year,National,E92000001,England,All group-based providers,1102400
2025,Calendar year,National,E92000001,England,Childminders,145700
2025,Calendar year,National,E92000001,England,Total,1620800
2024,Calendar year,National,E92000001,England,Nursery class childcare settings,338100
2024,Calendar year,National,E92000001,England,Maintained nursery schools,38700
2024,Calendar year,National,E92000001,England,All school-based providers,376800
2024,Calendar year,National,E92000001,England,All group-based providers,1071500
2024,Calendar year,National,E92000001,England,Childminders,156600
2024,Calendar year,National,E92000001,England,Total,1605000
2023,Calendar year,National,E92000001,England,Nursery class childcare settings,314900
2023,Calendar year,National,E92000001,England,Maintained nursery schools,34700
2023,Calendar year,National,E92000001,England,All school-based providers,349600
2023,Calendar year,National,E92000001,England,All group-based providers,1043600
2023,Calendar year,National,E92000001,England,Childminders,164900
2023,Calendar year,National,E92000001,England,Total,1558100
2022,Calendar year,National,E92000001,England,Nursery class childcare settings,292300
2022,Calendar year,National,E92000001,England,Maintained nursery schools,35600
2022,Calendar year,National,E92000001,England,All school-based providers,327900
2022,Calendar year,National,E92000001,England,All group-based providers,1044500
2022,Calendar year,National,E92000001,England,Childminders,170700
2022,Calendar year,National,E92000001,England,Total,1543000
