theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2023,2023-03-31,95.2500,False
immunisation,childhood-vaccines,MMR2,Nation,Scotland,MMR2_coverage_coverageByYear,all,all,5y,2023,2023-03-31,90.2500,False
immunisation,childhood-vaccines,4-in-1,Nation,Scotland,4-in-1_coverage_coverageByYear,all,all,5y,2022,2022-03-31,92.7000,False
immunisation,childhood-vaccines,6-in-1,Nation,Scotland,6-in-1_coverage_coverageByYear,all,all,5y,2022,2022-03-31,97.3700,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Scotland,Hib-MenC_coverage_coverageByYear,all,all,5y,2022,2022-03-31,95.5800,False
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2022,2022-03-31,96.0300,False
immunisation,childhood-vaccines,MMR2,Nation,Scotland,MMR2_coverage_coverageByYear,all,all,5y,2022,2022-03-31,92.2000,False
immunisation,childhood-vaccines,4-in-1,Nation,Scotland,4-in-1_coverage_coverageByYear,all,all,5y,2021,2021-03-31,92.8400,False
immunisation,childhood-vaccines,6-in-1,Nation,Scotland,6-in-1_coverage_coverageByYear,all,all,5y,2021,2021-03-31,97.8500,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Scotland,Hib-MenC_coverage_coverageByYear,all,all,5y,2021,2021-03-31,96.0300,False
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2021,2021-03-31,96.6200,False
immunisation,childhood-vaccines,MMR2,Nation,Scotland,MMR2_coverage_coverageByYear,all,all,5y,2021,2021-03-31,92.3000,False
immunisation,childhood-vaccines,4-in-1,Nation,Scotland,4-in-1_coverage_coverageByYear,all,all,5y,2020,2020-03-31,91.9200,False
immunisation,childhood-vaccines,6-in-1,Nation,Scotland,6-in-1_coverage_coverageByYear,all,all,5y,2020,2020-03-31,97.8500,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Scotland,Hib-MenC_coverage_coverageByYear,all,all,5y,2020,2020-03-31,95.9300,False
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2020,2020-03-31,96.6800,False
immunisation,childhood-vaccines,MMR2,Nation,Scotland,MMR2_coverage_coverageByYear,all,all,5y,2020,2020-03-31,91.5200,False
immunisation,childhood-vaccines,4-in-1,Nation,Scotland,4-in-1_coverage_coverageByYear,all,all,5y,2019,2019-03-31,91.8800,False
immunisation,childhood-vaccines,6-in-1,Nation,Scotland,6-in-1_coverage_coverageByYear,all,all,5y,2019,2019-03-31,97.8200,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Scotland,Hib-MenC_coverage_coverageByYear,all,all,5y,2019,2019-03-31,95.8600,False
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2019,2019-03-31,96.7600,False
immunisation,childhood-vaccines,MMR2,Nation,Scotland,MMR2_coverage_coverageByYear,all,all,5y,2019,2019-03-31,91.4700,False
immunisation,childhood-vaccines,4-in-1,Nation,Scotland,4-in-1_coverage_coverageByYear,all,all,5y,2018,2018-03-31,92.6500,False
immunisation,childhood-vaccines,6-in-1,Nation,Scotland,6-in-1_coverage_coverageByYear,all,all,5y,2018,2018-03-31,98.0100,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Scotland,Hib-MenC_coverage_coverageByYear,all,all,5y,2018,2018-03-31,96.0600,False
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2018,2018-03-31,96.8900,False
immunisation,childhood-vaccines,MMR2,Nation,Scotland,MMR2_coverage_coverageByYear,all,all,5y,2018,2018-03-31,92.0900,False
immunisation,childhood-vaccines,4-in-1,Nation,Scotland,4-in-1_coverage_coverageByYear,all,all,5y,2017,2017-03-31,93.4300,False
immunisation,childhood-vaccines,6-in-1,Nation,Scotland,6-in-1_coverage_coverageByYear,all,all,5y,2017,2017-03-31,97.9800,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Scotland,Hib-MenC_coverage_coverageByYear,all,all,5y,2017,2017-03-31,96.0400,False
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2017,2017-03-31,96.8800,False
immunisation,childhood-vaccines,MMR2,Nation,Scotland,MMR2_coverage_coverageByYear,all,all,5y,2017,2017-03-31,92.8800,False
immunisation,childhood-vaccines,4-in-1,Nation,Scotland,4-in-1_coverage_coverageByYear,all,all,5y,2016,2016-03-31,93.7300,False
immunisation,childhood-vaccines,6-in-1,Nation,Scotland,6-in-1_coverage_coverageByYear,all,all,5y,2016,2016-03-31,98.1400,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Scotland,Hib-MenC_coverage_coverageByYear,all,all,5y,2016,2016-03-31,96.2000,False
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2016,2016-03-31,97.1300,False
immunisation,childhood-vaccines,MMR2,Nation,Scotland,MMR2_coverage_coverageByYear,all,all,5y,2016,2016-03-31,93.0800,False
immunisation,childhood-vaccines,4-in-1,Nation,Scotland,4-in-1_coverage_coverageByYear,all,all,5y,2015,2015-03-31,94.0800,False
immunisation,childhood-vaccines,6-in-1,Nation,Scotland,6-in-1_coverage_coverageByYear,all,all,5y,2015,2015-03-31,98.0800,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Scotland,Hib-MenC_coverage_coverageByYear,all,all,5y,2015,2015-03-31,95.8200,False
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2015,2015-03-31,97.2200,False
immunisation,childhood-vaccines,MMR2,Nation,Scotland,MMR2_coverage_coverageByYear,all,all,5y,2015,2015-03-31,93.3200,False
immunisation,childhood-vaccines,4-in-1,Nation,Scotland,4-in-1_coverage_coverageByYear,all,all,5y,2014,2014-03-31,93.9700,False
immunisation,childhood-vaccines,6-in-1,Nation,Scotland,6-in-1_coverage_coverageByYear,all,all,5y,2014,2014-03-31,98.2100,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Scotland,Hib-MenC_coverage_coverageByYear,all,all,5y,2014,2014-03-31,95.8300,False
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2014,2014-03-31,97.2800,False
immunisation,childhood-vaccines,MMR2,Nation,Scotland,MMR2_coverage_coverageByYear,all,all,5y,2014,2014-03-31,93.0300,False
