theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
immunisation,childhood-vaccines,4-in-1,Nation,Scotland,4-in-1_coverage_coverageByYear,all,all,5y,2025,2025-03-31,89.7000,False
immunisation,childhood-vaccines,6-in-1,Nation,Scotland,6-in-1_coverage_coverageByYear,all,all,5y,2025,2025-03-31,96.9000,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Scotland,Hib-MenC_coverage_coverageByYear,all,all,5y,2025,2025-03-31,94.6000,False
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2025,2025-03-31,95.3000,False
immunisation,childhood-vaccines,MMR2,Nation,Scotland,MMR2_coverage_coverageByYear,all,all,5y,2025,2025-03-31,89.2000,False
immunisation,childhood-vaccines,4-in-1,Nation,Scotland,4-in-1_coverage_coverageByYear,all,all,5y,2024,2024-03-31,89.6400,False
immunisation,childhood-vaccines,6-in-1,Nation,Scotland,6-in-1_coverage_coverageByYear,all,all,5y,2024,2024-03-31,96.6900,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Scotland,Hib-MenC_coverage_coverageByYear,all,all,5y,2024,2024-03-31,94.8100,False
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2024,2024-03-31,95.4700,False
immunisation,childhood-vaccines,MMR2,Nation,Scotland,MMR2_coverage_coverageByYear,all,all,5y,2024,2024-03-31,89.1600,False
immunisation,childhood-vaccines,4-in-1,Nation,Scotland,4-in-1_coverage_coverageByYear,all,all,5y,2023,2023-03-31,90.8400,False
immunisation,childhood-vaccines,6-in-1,Nation,Scotland,6-in-1_coverage_coverageByYear,all,all,5y,2023,2023-03-31,96.5200,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Scotland,Hib-MenC_coverage_coverageByYear,all,all,5y,2023,2023-03-31,94.6600,False
