theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
immunisation,childhood-vaccines,Hib-MenC,Nation,Northern Ireland,Hib-MenC_coverage_coverageByYear,all,all,5y,2018,2018-03-31,96.1500,False
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2018,2018-03-31,96.8100,False
immunisation,childhood-vaccines,MMR2,Nation,Northern Ireland,MMR2_coverage_coverageByYear,all,all,5y,2018,2018-03-31,92.3800,False
immunisation,childhood-vaccines,4-in-1,Nation,Northern Ireland,4-in-1_coverage_coverageByYear,all,all,5y,2017,2017-03-31,93.2700,False
immunisation,childhood-vaccines,6-in-1,Nation,Northern Ireland,6-in-1_coverage_coverageByYear,all,all,5y,2017,2017-03-31,97.6600,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Northern Ireland,Hib-MenC_coverage_coverageByYear,all,all,5y,2017,2017-03-31,96.4200,False
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2017,2017-03-31,97.4300,False
immunisation,childhood-vaccines,MMR2,Nation,Northern Ireland,MMR2_coverage_coverageByYear,all,all,5y,2017,2017-03-31,92.8300,False
immunisation,childhood-vaccines,4-in-1,Nation,Northern Ireland,4-in-1_coverage_coverageByYear,all,all,5y,2016,2016-03-31,93.5600,False
immunisation,childhood-vaccines,6-in-1,Nation,Northern Ireland,6-in-1_coverage_coverageByYear,all,all,5y,2016,2016-03-31,98.0900,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Northern Ireland,Hib-MenC_coverage_coverageByYear,all,all,5y,2016,2016-03-31,96.5700,False
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2016,2016-03-31,97.4900,False
immunisation,childhood-vaccines,MMR2,Nation,Northern Ireland,MMR2_coverage_coverageByYear,all,all,5y,2016,2016-03-31,93.0000,False
immunisation,childhood-vaccines,4-in-1,Nation,Northern Ireland,4-in-1_coverage_coverageByYear,all,all,5y,2015,2015-03-31,93.8400,False
immunisation,childhood-vaccines,6-in-1,Nation,Northern Ireland,6-in-1_coverage_coverageByYear,all,all,5y,2015,2015-03-31,96.9800,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Northern Ireland,Hib-MenC_coverage_coverageByYear,all,all,5y,2015,2015-03-31,94.9400,False
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2015,2015-03-31,96.3600,False
immunisation,childhood-vaccines,MMR2,Nation,Northern Ireland,MMR2_coverage_coverageByYear,all,all,5y,2015,2015-03-31,93.0600,False
immunisation,childhood-vaccines,4-in-1,Nation,Northern Ireland,4-in-1_coverage_coverageByYear,all,all,5y,2014,2014-03-31,93.3800,False
immunisation,childhood-vaccines,6-in-1,Nation,Northern Ireland,6-in-1_coverage_coverageByYear,all,all,5y,2014,2014-03-31,98.1800,False
immunisation,childhood-vaccines,Hib-MenC,Nation,Northern Ireland,Hib-MenC_coverage_coverageByYear,all,all,5y,2014,2014-03-31,95.8700,False
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2014,2014-03-31,97.4600,False
immunisation,childhood-vaccines,MMR2,Nation,Northern Ireland,MMR2_coverage_coverageByYear,all,all,5y,2014,2014-03-31,92.4200,False
