Year,Total renewable generation,Total low carbon generation,Total fossil fuel generation
1996,"6,102","100,773","244,257"
1997,"7,429","105,575","239,367"
1998,"9,232","108,718","248,124"
1999,"10,175","105,308","255,631"
2000,"10,361","95,424","274,551"
2001,"10,076","100,169","278,619"
2002,"11,671","99,519","281,355"
2003,"11,207","99,893","291,780"
2004,"14,723","94,722","293,496"
2005,"17,519","99,137","292,617"
2006,"18,757","94,207","295,851"
2007,"19,690","82,718","306,785"
2008,"21,820","74,306","307,309"
2009,"25,208","94,306","275,531"
2010,"26,180","88,320","288,053"
2011,"35,212","104,193","258,060"
2012,"41,249","111,654","245,853"
2013,"53,213","123,820","228,167"
2014,"64,523","128,270","203,051"
2015,"83,364","153,709","177,791"
2016,"82,991","154,717","175,915"
2017,"98,879","169,215","160,891"
2018,"110,130","175,194","149,894"
2019,"119,726","175,910","141,993"
2020,"133,625","183,864","119,025"
2021,"122,477","168,581","131,583"
2022,"135,228","182,628","133,891"
2023,"136,758","177,354","107,571"
2024,"143,708","184,296","90,531"
