theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2022,2022-03-31,93.4100,False
immunisation,childhood-vaccines,MMR2,Nation,England,MMR2_coverage_coverageByYear,all,all,5y,2022,2022-03-31,85.6900,False
immunisation,childhood-vaccines,4-in-1,Nation,England,4-in-1_coverage_coverageByYear,all,all,5y,2021,2021-03-31,85.3400,False
immunisation,childhood-vaccines,6-in-1,Nation,England,6-in-1_coverage_coverageByYear,all,all,5y,2021,2021-03-31,95.2400,False
immunisation,childhood-vaccines,Hib-MenC,Nation,England,Hib-MenC_coverage_coverageByYear,all,all,5y,2021,2021-03-31,92.3500,False
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2021,2021-03-31,94.2700,False
immunisation,childhood-vaccines,MMR2,Nation,England,MMR2_coverage_coverageByYear,all,all,5y,2021,2021-03-31,86.6200,False
immunisation,childhood-vaccines,4-in-1,Nation,England,4-in-1_coverage_coverageByYear,all,all,5y,2020,2020-03-31,85.4100,False
immunisation,childhood-vaccines,6-in-1,Nation,England,6-in-1_coverage_coverageByYear,all,all,5y,2020,2020-03-31,95.2400,False
immunisation,childhood-vaccines,Hib-MenC,Nation,England,Hib-MenC_coverage_coverageByYear,all,all,5y,2020,2020-03-31,92.4500,False
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2020,2020-03-31,94.5500,False
immunisation,childhood-vaccines,MMR2,Nation,England,MMR2_coverage_coverageByYear,all,all,5y,2020,2020-03-31,86.8100,False
immunisation,childhood-vaccines,4-in-1,Nation,England,4-in-1_coverage_coverageByYear,all,all,5y,2019,2019-03-31,84.8300,False
immunisation,childhood-vaccines,6-in-1,Nation,England,6-in-1_coverage_coverageByYear,all,all,5y,2019,2019-03-31,95.0400,False
immunisation,childhood-vaccines,Hib-MenC,Nation,England,Hib-MenC_coverage_coverageByYear,all,all,5y,2019,2019-03-31,92.2400,False
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2019,2019-03-31,94.4700,False
immunisation,childhood-vaccines,MMR2,Nation,England,MMR2_coverage_coverageByYear,all,all,5y,2019,2019-03-31,86.4300,False
immunisation,childhood-vaccines,4-in-1,Nation,England,4-in-1_coverage_coverageByYear,all,all,5y,2018,2018-03-31,85.6300,False
immunisation,childhood-vaccines,6-in-1,Nation,England,6-in-1_coverage_coverageByYear,all,all,5y,2018,2018-03-31,95.5600,False
immunisation,childhood-vaccines,Hib-MenC,Nation,England,Hib-MenC_coverage_coverageByYear,all,all,5y,2018,2018-03-31,92.4100,False
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2018,2018-03-31,94.8900,False
immunisation,childhood-vaccines,MMR2,Nation,England,MMR2_coverage_coverageByYear,all,all,5y,2018,2018-03-31,87.1700,False
immunisation,childhood-vaccines,4-in-1,Nation,England,4-in-1_coverage_coverageByYear,all,all,5y,2017,2017-03-31,86.2400,False
immunisation,childhood-vaccines,6-in-1,Nation,England,6-in-1_coverage_coverageByYear,all,all,5y,2017,2017-03-31,95.5900,False
immunisation,childhood-vaccines,Hib-MenC,Nation,England,Hib-MenC_coverage_coverageByYear,all,all,5y,2017,2017-03-31,92.5700,False
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2017,2017-03-31,95.0000,False
immunisation,childhood-vaccines,MMR2,Nation,England,MMR2_coverage_coverageByYear,all,all,5y,2017,2017-03-31,87.5500,False
immunisation,childhood-vaccines,4-in-1,Nation,England,4-in-1_coverage_coverageByYear,all,all,5y,2016,2016-03-31,86.2600,False
immunisation,childhood-vaccines,6-in-1,Nation,England,6-in-1_coverage_coverageByYear,all,all,5y,2016,2016-03-31,95.5700,False
immunisation,childhood-vaccines,Hib-MenC,Nation,England,Hib-MenC_coverage_coverageByYear,all,all,5y,2016,2016-03-31,92.5800,False
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2016,2016-03-31,94.8000,False
immunisation,childhood-vaccines,MMR2,Nation,England,MMR2_coverage_coverageByYear,all,all,5y,2016,2016-03-31,88.2300,False
immunisation,childhood-vaccines,4-in-1,Nation,England,4-in-1_coverage_coverageByYear,all,all,5y,2015,2015-03-31,88.5400,False
immunisation,childhood-vaccines,6-in-1,Nation,England,6-in-1_coverage_coverageByYear,all,all,5y,2015,2015-03-31,95.5600,False
immunisation,childhood-vaccines,Hib-MenC,Nation,England,Hib-MenC_coverage_coverageByYear,all,all,5y,2015,2015-03-31,92.3900,False
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2015,2015-03-31,94.3700,False
immunisation,childhood-vaccines,MMR2,Nation,England,MMR2_coverage_coverageByYear,all,all,5y,2015,2015-03-31,88.6200,False
immunisation,childhood-vaccines,4-in-1,Nation,England,4-in-1_coverage_coverageByYear,all,all,5y,2014,2014-03-31,88.7500,False
immunisation,childhood-vaccines,6-in-1,Nation,England,6-in-1_coverage_coverageByYear,all,all,5y,2014,2014-03-31,95.6000,False
immunisation,childhood-vaccines,Hib-MenC,Nation,England,Hib-MenC_coverage_coverageByYear,all,all,5y,2014,2014-03-31,91.9300,False
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2014,2014-03-31,94.1100,False
immunisation,childhood-vaccines,MMR2,Nation,England,MMR2_coverage_coverageByYear,all,all,5y,2014,2014-03-31,88.3200,False
