theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
immunisation,childhood-vaccines,4-in-1,Nation,England,4-in-1_coverage_coverageByYear,all,all,5y,2025,2025-03-31,81.3000,False
immunisation,childhood-vaccines,6-in-1,Nation,England,6-in-1_coverage_coverageByYear,all,all,5y,2025,2025-03-31,92.8000,False
immunisation,childhood-vaccines,Hib-MenC,Nation,England,Hib-MenC_coverage_coverageByYear,all,all,5y,2025,2025-03-31,88.9000,False
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2025,2025-03-31,91.8000,False
immunisation,childhood-vaccines,MMR2,Nation,England,MMR2_coverage_coverageByYear,all,all,5y,2025,2025-03-31,83.7000,False
immunisation,childhood-vaccines,4-in-1,Nation,England,4-in-1_coverage_coverageByYear,all,all,5y,2024,2024-03-31,82.7400,False
immunisation,childhood-vaccines,6-in-1,Nation,England,6-in-1_coverage_coverageByYear,all,all,5y,2024,2024-03-31,92.6200,False
immunisation,childhood-vaccines,Hib-MenC,Nation,England,Hib-MenC_coverage_coverageByYear,all,all,5y,2024,2024-03-31,89.4400,False
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2024,2024-03-31,91.9300,False
immunisation,childhood-vaccines,MMR2,Nation,England,MMR2_coverage_coverageByYear,all,all,5y,2024,2024-03-31,83.9100,False
immunisation,childhood-vaccines,4-in-1,Nation,England,4-in-1_coverage_coverageByYear,all,all,5y,2023,2023-03-31,83.2800,False
immunisation,childhood-vaccines,6-in-1,Nation,England,6-in-1_coverage_coverageByYear,all,all,5y,2023,2023-03-31,93.2000,False
immunisation,childhood-vaccines,Hib-MenC,Nation,England,Hib-MenC_coverage_coverageByYear,all,all,5y,2023,2023-03-31,90.4000,False
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2023,2023-03-31,92.4900,False
immunisation,childhood-vaccines,MMR2,Nation,England,MMR2_coverage_coverageByYear,all,all,5y,2023,2023-03-31,84.5200,False
immunisation,childhood-vaccines,4-in-1,Nation,England,4-in-1_coverage_coverageByYear,all,all,5y,2022,2022-03-31,84.2400,False
immunisation,childhood-vaccines,6-in-1,Nation,England,6-in-1_coverage_coverageByYear,all,all,5y,2022,2022-03-31,94.3900,False
immunisation,childhood-vaccines,Hib-MenC,Nation,England,Hib-MenC_coverage_coverageByYear,all,all,5y,2022,2022-03-31,91.7100,False
