region,average-price,percentage-monthly-change,percentage-annual-change
England,293131,0.4,2.2
Northern Ireland,193247,4.3,7.1
Scotland,193114,0.3,4.5
Wales,208935,-0.6,0.7
East Midlands,242180,-0.2,2.7
East of England,338286,-0.7,1.8
London,553258,1.3,-1.2
North East,166568,1.8,6.8
North West,216741,0.9,4.1
South East,381369,-0.8,1.0
South West,306045,0.8,1.9
West Midlands,233751,0.3,1.5
Yorkshire and The Humber,209236,1.2,3.7
