year,live-births
2024,594677
2023,591072
2022,605479
2021,624828
2020,613936
2019,640370
2018,657076
2017,679106
2016,696271
2015,697852
2014,695233
2013,698512
2012,729674
2011,723913
2010,723165
2009,706248
2008,708711
2007,690013
2006,669601
2005,645835
2004,639721
2003,621469
2002,596122
2001,594634
2000,604441
1999,621872
1998,635901
1997,643095
1996,649485
1995,648138
