"Table 5: Overall effectiveness of active early years registered providers at their most recent inspection, by year 1 2 3 4",,,,,,,,,,,,
31 August 2025,,,,,,,,,,,,
Provision type:,All provision,,,,,,,,,,,
,,,,,,,,,,,,
,Number of providers,,,,,,Percentage of inspected providers,,,,,
,EYR providers,Total number inspected,Outstanding,Good,Requires improvement,Inadequate,Outstanding,Good,Requires improvement,Inadequate,,
As at 31 August 2025,"46,631","35,992","4,803","30,424",502,263,13,85,1,1,,
As at 31 August 2024,"47,216","36,323","5,017","30,463",584,259,14,84,2,1,,
As at 31 August 2023,"48,143","38,036","5,275","31,413",938,410,14,83,2,1,,
As at 31 August 2022,"51,147","39,928","5,798","32,667",987,476,15,82,2,1,,
As at 31 August 2021,"55,723","40,916","7,082","32,603",937,294,17,80,2,1,,
,,,,,,,,,,Source: Ofsted inspection data,,
"1. For explanations of key terms in this table, please see the Notes tab.",,,,,,,,,,,,
"2. Percentages are rounded and may not sum to 100. 
",,,,,,,,,,,,
3. 'Most recent inspection' refers to the provider's most recent full Early Years Register inspection.,,,,,,,,,,,,
"4. A dash ( - ) in the table data denotes not applicable. 
",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
